Question,Answers,Comment,Instructions,Render as
憂__鬱__,ウツ,２９画（鬯１０＋１９）,漢字の読みを入力してください,Text
__鑑__賞，__鑑__定，年__鑑__,カン,２３画（金８＋１５）,漢字の読みを入力してください,Text
__鑑__みる,かんが,２３画（金８＋１５）,漢字の読みを入力してください,Text
__籠__城,ロウ,２２画（竹６＋１６）,漢字の読みを入力してください,Text
__襲__撃，__襲__名，世__襲__,シュウ,２２画（衣６＋１６）,漢字の読みを入力してください,Text
__驚__異，__驚__嘆,キョウ,２２画（馬１０＋１２）,漢字の読みを入力してください,Text
__籠__，__籠__の鳥,かご,２２画（竹６＋１６）,漢字の読みを入力してください,Text
__籠__もる,こ,２２画（竹６＋１６）,漢字の読みを入力してください,Text
__襲__う,おそ,２２画（衣６＋１６）,漢字の読みを入力してください,Text
__驚__く，__驚__き，__驚__かす,おどろ,２２画（馬１０＋１２）,漢字の読みを入力してください,Text
__顧__慮，__顧__問，回__顧__,コ,２１画（頁９＋１２）,漢字の読みを入力してください,Text
__躍__動，__躍__起，飛__躍__,ヤク,２１画（足７＋１４）,漢字の読みを入力してください,Text
__露__出，__露__店，雨__露__,ロ,２１画（雨８＋１３）,漢字の読みを入力してください,Text
"披__露__
①手紙・文書などを開いて人に見せること。
②広く人に知らせること。世間一般に発表すること。
③意見を申し上げること。報告すること。",ロウ,２１画（雨８＋１３）,漢字の読みを入力してください,Text
__艦__船，__艦__隊，軍__艦__,カン,２１画（舟６＋１５）,漢字の読みを入力してください,Text
__魔__法，悪__魔__，邪__魔__,マ,２１画（鬼１０＋１１）,漢字の読みを入力してください,Text
__顧__みる,かえり,２１画（頁９＋１２）,漢字の読みを入力してください,Text
__鶴__，千羽__鶴__,つる,２１画（鳥１１＋１０）,漢字の読みを入力してください,Text
__躍__る，__躍__り上がる,おど,２１画（足７＋１４）,漢字の読みを入力してください,Text
__露__，__露__わ，__露__わにする,"あらわ,あら",２１画（雨８＋１３）,漢字の読みを入力してください,Text
__露__，夜__露__,つゆ,２１画（雨８＋１３）,漢字の読みを入力してください,Text
__醸__造，__醸__成,ジョウ,２０画（酉７＋１３）,漢字の読みを入力してください,Text
__騰__貴，暴__騰__，沸__騰__,トウ,２０画（馬１０＋１０）,漢字の読みを入力してください,Text
__欄__干，__欄__外，空__欄__,ラン,２０画（木４＋１６）,漢字の読みを入力してください,Text
半__鐘__，警__鐘__,ショウ,２０画（金８＋１２）,漢字の読みを入力してください,Text
書__籍__，戸__籍__，本__籍__,セキ,２０画（竹６＋１４）,漢字の読みを入力してください,Text
__譲__渡，__譲__歩，謙__譲__,ジョウ,２０画（言７＋１３）,漢字の読みを入力してください,Text
__競__争，__競__技，__競__泳,キョウ,２０画（立５＋１５）,漢字の読みを入力してください,Text
__競__馬，__競__輪,ケイ,２０画（立５＋１５）,漢字の読みを入力してください,Text
__懸__垂，__懸__賞，__懸__命,ケン,２０画（心４＋１６）,漢字の読みを入力してください,Text
__懸__念，__懸__想,ケ,２０画（心４＋１６）,漢字の読みを入力してください,Text
音__響__，影__響__，交__響__楽,キョウ,２０画（音９＋１１）,漢字の読みを入力してください,Text
__護__衛，救__護__，保__護__,ゴ,２０画（言７＋１３）,漢字の読みを入力してください,Text
__議__論，会__議__，異__議__,ギ,２０画（言７＋１３）,漢字の読みを入力してください,Text
"__醸__す，__醸__し出す
❶米やムギなどを発酵させて、酒・しょうゆ・みそなどをつくる。醸造する。
❷気分や感じをつくる。",かも,２０画（酉７＋１３）,漢字の読みを入力してください,Text
__鐘__，__鐘__の音，早__鐘__を打つ,かね,２０画（金８＋１２）,漢字の読みを入力してください,Text
__譲__る，親__譲__り,ゆず,２０画（言７＋１３）,漢字の読みを入力してください,Text
__競__う,きそ,２０画（立５＋１５）,漢字の読みを入力してください,Text
__競__る，__競__り合う,せ,２０画（立５＋１５）,漢字の読みを入力してください,Text
__懸__ける，命__懸__け，__懸__かる,か,２０画（心４＋１６）,漢字の読みを入力してください,Text
__響__む， __響__めき，__響動__めく，__響__く,"どよ,どよめ",２０画（音９＋１１）,漢字の読みを入力してください,Text
__響__く，__響__き,ひび,２０画（音９＋１１）,漢字の読みを入力してください,Text
御__璽__，国__璽__,ジ,１９画（玉５＋１４）,漢字の読みを入力してください,Text
山__麓__,ロク,１９画（鹿１１＋８ / 木４＋１５）,漢字の読みを入力してください,Text
__鯨__油，捕__鯨__,ゲイ,１９画（魚１１＋８）,漢字の読みを入力してください,Text
__藻__類，海__藻__，詞__藻__,ソウ,１９画（艸３＋１６）,漢字の読みを入力してください,Text
__韻__律，__韻__文，音__韻__,イン,１９画（音９＋１０）,漢字の読みを入力してください,Text
系__譜__，楽__譜__，年__譜__,フ,１９画（言７＋１２）,漢字の読みを入力してください,Text
骨__髄__，脳__髄__，真__髄__,ズイ,１９画（骨１０＋９）,漢字の読みを入力してください,Text
__簿__記，名__簿__，帳__簿__,ボ,１９画（竹６＋１３）,漢字の読みを入力してください,Text
__鶏__卵，__鶏__舎，養__鶏__,ケイ,１９画（鳥１１＋８）,漢字の読みを入力してください,Text
"妖__艶__
〔文〕気味が悪いほどあでやかなようす。
「━な姿・━な金色の小へび」",エン,１９画（色６＋１３）,漢字の読みを入力してください,Text
__覇__権，__覇__者，制__覇__,ハ,１９画（襾６＋１３）,漢字の読みを入力してください,Text
__羅__列，__羅__針盤，網__羅__,ラ,１９画（网５＋１４）,漢字の読みを入力してください,Text
__霧__笛，濃__霧__，噴__霧__器,ム,１９画（雨８＋１１）,漢字の読みを入力してください,Text
一__蹴__,シュウ,１９画（足７＋１２）,漢字の読みを入力してください,Text
__臓__器，内__臓__，心__臓__,ゾウ,１９画（肉４＋１５）,漢字の読みを入力してください,Text
__鏡__台，望遠__鏡__，反射__鏡__,キョウ,１９画（金８＋１１）,漢字の読みを入力してください,Text
__麗__人，端__麗__，美__麗__,レイ,１９画（鹿１１＋８）,漢字の読みを入力してください,Text
__爆__発，__爆__弾，原__爆__,バク,１９画（火４＋１５）,漢字の読みを入力してください,Text
__識__別，意__識__，知__識__,シキ,１９画（言７＋１２）,漢字の読みを入力してください,Text
__警__告，__警__戒，__警__察,ケイ,１９画（言７＋１２）,漢字の読みを入力してください,Text
__願__望，祈__願__，志__願__,ガン,１９画（頁９＋１０）,漢字の読みを入力してください,Text
"麓
山の下のほう。山のすそ。",ふもと,１９画（鹿１１＋８ / 木４＋１５）,漢字の読みを入力してください,Text
鯨 :whale:,くじら,１９画（魚１１＋８）,漢字の読みを入力してください,Text
__藻__掻く，__藻__，__藻__屑，__藻__塩,も,１９画（艸３＋１６）,漢字の読みを入力してください,Text
"鶏
キジのなかまの鳥。",にわとり,１９画（鳥１１＋８）,漢字の読みを入力してください,Text
__艶__，色__艶__,つや,１９画（色６＋１３）,漢字の読みを入力してください,Text
__霧__，__霧__雨，朝__霧__,きり,１９画（雨８＋１１）,漢字の読みを入力してください,Text
__蹴__る，__蹴__散らす,け,１９画（足７＋１２）,漢字の読みを入力してください,Text
__瀬__，浅__瀬__，立つ__瀬__,せ,１９画（水３＋１６）,漢字の読みを入力してください,Text
__鏡__，__鏡__に映る,かがみ,１９画（金８＋１１）,漢字の読みを入力してください,Text
__繰__る，__繰__り返す,く,１９画（糸６＋１３）,漢字の読みを入力してください,Text
__麗__しい，__麗__しさ,うるわ,１９画（鹿１１＋８）,漢字の読みを入力してください,Text
__願__う，__願__い，__願__わしい,ねが,１９画（頁９＋１０）,漢字の読みを入力してください,Text
__濫__伐，__濫__費，__濫__用,ラン,１８画（水３＋１５）,漢字の読みを入力してください,Text
__繭__糸,ケン,１８画（糸６＋１２）,漢字の読みを入力してください,Text
__襟__度，開__襟__，胸__襟__,キン,１８画（衣５＋１３）,漢字の読みを入力してください,Text
修__繕__，営__繕__,ゼン,１８画（糸６＋１２）,漢字の読みを入力してください,Text
出__藍__,ラン,１８画（艸３＋１５）,漢字の読みを入力してください,Text
__顕__著，__顕__彰，__顕__微鏡,ケン,１８画（頁９＋９）,漢字の読みを入力してください,Text
__糧__食，__糧__道,リョウ,１８画（米６＋１２）,漢字の読みを入力してください,Text
兵__糧__,ロウ,１８画（米６＋１２）,漢字の読みを入力してください,Text
収__穫__,カク,１８画（禾５＋１３）,漢字の読みを入力してください,Text
